x,y,z,name,phi,kx,facies,ntg,prod
920,80,0.0,0,0.02,27.529,1.0,0,0.00478709227499
920,80,6.0,0,0.0221144,7.03381,1.0,0,0.00529319547791
920,80,12.0,0,0.02,11.7915,1.0,0,0.00478709227499
920,80,18.0,0,0.0201599,7.26526,1.0,0,0.00482536540523
920,80,24.0,0,0.0213281,7.0033,1.0,0,0.00510497567117
920,80,30.0,0,0.0214453,7.25935,1.0,0,0.00513302422901
920,80,36.0,0,0.02,7.21221,1.0,0,0.00478709227499
920,80,42.0,0,0.02,7.19126,1.0,0,0.00478709227499
920,80,48.0,0,0.0224975,7.14597,1.0,0,0.00538488224499
920,80,54.0,0,0.0206241,7.09739,1.0,0,0.00493648293424
920,80,60.0,0,0.02,7.34149,1.0,0,0.00478709227499
920,80,66.0,0,0.0201083,6.94213,1.0,0,0.0048130157309
920,80,72.0,0,0.02,6.75188,1.0,0,0.00478709227499
920,80,78.0,0,0.02,7.33649,1.0,0,0.00478709227499
920,80,84.0,0,0.0218889,6.778,1.0,0,0.00523919939251
920,80,90.0,0,0.02,7.0825,1.0,0,0.00478709227499
920,80,96.0,0,0.0207608,6.99782,1.0,0,0.00496920430174
920,80,102.0,0,0.02,7.03688,1.0,0,0.00478709227499
920,80,108.0,0,0.02,7.23738,1.0,0,0.00478709227499
920,80,114.0,0,0.0212805,6.78711,1.0,0,0.00509357395496
920,80,120.0,0,0.02,7.00653,1.0,0,0.00478709227499
920,80,126.0,0,0.02,6.85954,1.0,0,0.00478709227499
920,80,132.0,0,0.02,7.23961,1.0,0,0.00478709227499
920,80,138.0,0,0.02,7.05316,3.0,0,0.00478709227499
920,80,144.0,0,0.0202727,7.34788,1.0,0,0.00485235746705
920,80,150.0,0,0.0240512,7.12039,1.0,0,0.00575677298612
920,80,156.0,0,0.02,7.30855,1.0,0,0.00478709227499
920,80,162.0,0,0.02,7.26135,1.0,0,0.00478709227499
920,80,168.0,0,0.0275467,7.3663,1.0,0,0.00659343155033
920,80,174.0,0,0.0231391,7.26647,1.0,0,0.00553846001221
920,80,180.0,0,0.0201886,11.8329,2.0,0,0.00483224249346
920,80,186.0,0,0.02,6.81419,1.0,0,0.00478709227499
920,80,192.0,0,0.02,6.75188,1.0,0,0.00478709227499
920,80,198.0,0,0.0223349,7.18555,1.0,0,0.00534597136113
920,80,204.0,0,0.0204368,7.40917,1.0,1,0.00489163402827
920,80,210.0,0,0.0213651,8.18164,1.0,0,0.00511383094394
920,80,216.0,0,0.0263884,7.53603,1.0,0,0.00631618145087
920,80,222.0,0,0.0268085,8.1792,1.0,0,0.00641673686406
920,80,228.0,0,0.0222737,8.33033,1.0,0,0.0053313099899
920,80,234.0,0,0.0212794,11.7098,1.0,0,0.00509332266228
920,80,240.0,0,0.02,11.8139,1.0,0,0.00478709227499
920,80,246.0,0,0.02,6.75188,1.0,0,0.00478709227499
920,80,252.0,0,0.0439511,38.6186,1.0,0,0.0105198974697
920,80,258.0,0,0.0414701,23.3547,1.0,0,0.00992605696872
920,80,264.0,0,0.0528848,23.0911,1.0,0,0.012658220743
920,80,270.0,0,0.0522285,27.3937,1.0,0,0.0125011347905
920,80,276.0,0,0.0705784,26.5368,2.0,0,0.0168932623031
920,80,282.0,0,0.057486,25.1092,1.0,0,0.013759539326
920,80,288.0,0,0.0709903,24.9359,1.0,0,0.0169918621254
920,80,294.0,0,0.0389428,25.9872,1.0,0,0.00932114459759
920,80,300.0,0,0.02,26.3283,1.0,0,0.00478709227499
920,80,306.0,0,0.0203667,33.072,1.0,0,0.00487486766562
920,80,312.0,0,0.0633492,26.7527,1.0,0,0.0151629271812
920,80,318.0,0,0.0411859,22.9889,1.0,1,0.00985802942185
920,80,324.0,0,0.0304938,14.9868,1.0,0,0.00729883838649
920,80,330.0,0,0.0218451,14.4148,1.0,0,0.00522872547555
920,80,336.0,0,0.02,15.2807,1.0,0,0.00478709227499
920,80,342.0,0,0.0649121,15.0882,1.0,0,0.0155370141461
920,80,348.0,0,0.0631696,14.6878,1.0,0,0.0151199300483
920,80,354.0,0,0.0304343,15.6667,1.0,0,0.00728459118094
920,80,360.0,0,0.0211604,15.7148,1.0,0,0.00506485108978
920,80,366.0,0,0.02,14.4881,1.0,0,0.00478709227499
920,80,372.0,0,0.0667736,15.1389,1.0,0,0.0159825655697
920,80,378.0,0,0.02,14.6263,1.0,0,0.00478709227499
920,80,384.0,0,0.0217336,14.9891,1.0,0,0.00520203021886
920,80,390.0,0,0.0329625,14.4893,1.0,0,0.00788972104672
920,80,396.0,0,0.0207681,14.8786,1.0,0,0.00497094957405
920,80,402.0,0,0.0670233,14.7611,1.0,0,0.0160423409006
920,80,408.0,0,0.0321928,14.5593,1.0,0,0.0077055016153
