x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
960,40,121,0.0539363,49.8617,0.216,0.06,50
480,840,122,0.146382,266.99,0.652,0.172,2027
520,80,123,0.0884533,121.718,0.436,0.048,306.562
120,920,124,0.124211,201.967,0.58,0.092,639.942
200,920,125,0.126879,215.228,0.572,0.12,856.207
560,840,126,0.139716,268.561,0.644,0.144,1723.31
360,960,127,0.127816,229.876,0.596,0.108,913.481
520,480,128,0.155805,335.137,0.656,0.192,2645.02
480,600,129,0.162876,321.258,0.672,0.256,2564.07
920,880,130,0.0692364,80.5495,0.332,0.044,184.015
120,880,131,0.126944,232.902,0.524,0.096,993.281
480,680,132,0.161818,342.526,0.644,0.248,2219.98
840,360,133,0.0879135,117.784,0.476,0.04,200.101
720,640,134,0.124889,213.011,0.564,0.108,1402.11
640,600,135,0.14294,285.569,0.624,0.16,2478.63
320,840,136,0.152519,290.095,0.7,0.188,1896.25
680,360,137,0.118812,187.397,0.552,0.092,411.376
800,840,138,0.0970001,137.309,0.46,0.056,452.538
840,160,139,0.0634609,65.734,0.284,0.052,150.67
680,840,140,0.117541,182.651,0.548,0.096,1028.03
80,200,141,0.101711,148.207,0.508,0.052,1073.01
880,200,142,0.0614406,62.6521,0.276,0.068,121.564
600,600,143,0.14965,295.651,0.628,0.212,2125.45
760,880,144,0.102005,152.024,0.512,0.048,486.218
480,800,145,0.152615,285.212,0.672,0.216,1695.72
560,920,146,0.121929,223.476,0.576,0.08,1052.46
920,360,147,0.0737264,89.3879,0.376,0.064,158.827
200,960,148,0.118132,192.975,0.576,0.084,868.201
80,240,149,0.113669,192.408,0.532,0.076,1578.16
80,760,150,0.139456,240.544,0.592,0.148,1641.51
360,280,151,0.137097,238.916,0.616,0.132,2512.68
360,720,152,0.16844,353.526,0.732,0.232,2833.94
160,320,153,0.132779,267.269,0.592,0.144,2248.55
320,960,154,0.127168,244.925,0.56,0.132,1094.43
880,160,155,0.0601715,56.3472,0.248,0.036,101.553
160,40,156,0.0787358,83.4475,0.344,0.06,780.913
920,920,157,0.0701804,78.8604,0.308,0.036,166.12
800,280,158,0.090122,114.12,0.452,0.068,237.745
880,440,159,0.0879842,112.942,0.424,0.052,298.79
280,600,160,0.168896,325.46,0.724,0.26,2680.78
640,800,161,0.134106,235.594,0.612,0.112,1575.35
320,200,162,0.120698,209.872,0.548,0.068,2056.13
80,40,163,0.07108,79.8773,0.356,0.052,451.349
880,920,164,0.0781917,89.16,0.396,0.064,197.291
240,200,165,0.116944,183.169,0.6,0.076,1938.07
400,920,166,0.13549,252.522,0.608,0.14,1484.02
720,360,167,0.109344,166.057,0.54,0.072,342.756
920,480,168,0.0801398,100.329,0.372,0.052,235.55
560,40,169,0.0789164,100.182,0.396,0.044,158.463
800,160,170,0.069009,63.5683,0.3,0.064,185.42
200,640,171,0.163763,313.509,0.74,0.2,2813
760,200,172,0.0844124,120.026,0.444,0.036,283.478
920,320,173,0.0700171,76.0977,0.316,0.06,110.448
840,640,174,0.104271,163.03,0.468,0.048,758.776
880,840,175,0.0825661,100.47,0.4,0.056,266.327
720,200,176,0.0909265,111.696,0.488,0.032,293.009
720,600,177,0.125303,222.111,0.616,0.096,1699.7
280,360,178,0.153792,305.412,0.624,0.216,2287.61
600,640,179,0.151417,310.712,0.592,0.204,2417.56
40,520,180,0.138508,239.093,0.62,0.144,1684.15
880,600,181,0.0910538,131.098,0.436,0.048,198.766
480,120,182,0.0991615,146.227,0.456,0.024,246.524
320,720,183,0.164145,382.996,0.76,0.252,2252.63
320,680,184,0.171907,337.509,0.7,0.264,3033.04
200,840,185,0.142294,296.773,0.612,0.144,1492.58
400,960,186,0.126459,232.301,0.588,0.128,899.313
160,880,187,0.133153,244.619,0.608,0.156,1049.66
960,400,188,0.0694403,73.9219,0.316,0.044,153.155
280,960,189,0.126353,242.13,0.56,0.112,884.383
680,400,190,0.119533,202.88,0.524,0.084,474.828
440,840,191,0.148809,313.773,0.624,0.156,1656.34
960,160,192,0.0561959,52.1782,0.212,0.06,114.948
800,760,193,0.101138,143.497,0.524,0.048,652.74
720,320,194,0.106359,158.718,0.516,0.048,320.58
280,200,195,0.120869,201.037,0.576,0.104,1860.6
960,640,196,0.074623,87.6598,0.408,0.056,177.606
560,280,197,0.122659,200.245,0.58,0.124,2003.99
200,400,198,0.154941,302.789,0.696,0.2,2665.4
160,160,199,0.0998371,143.366,0.5,0.064,1189.68
240,800,200,0.155128,375.703,0.668,0.204,2109.47
320,320,201,0.150215,297.908,0.676,0.164,2872.39
920,800,202,0.0747273,82.4399,0.36,0.044,171.342
760,280,203,0.0940003,128.377,0.416,0.06,334.48
640,960,204,0.108109,163.531,0.548,0.088,677.699
880,80,205,0.0534176,48.2461,0.176,0.04,57.838
880,680,206,0.0930339,123.857,0.44,0.036,207.58
680,280,207,0.107136,177.045,0.5,0.056,354.404
640,440,208,0.137615,256.649,0.644,0.136,1893.01
600,360,209,0.134785,233.65,0.616,0.124,2400.64
360,360,210,0.150597,318.64,0.632,0.212,3052.13
360,120,211,0.102971,151.204,0.5,0.06,1224.71
840,720,212,0.0974174,154.421,0.48,0.044,779.107
760,160,213,0.0750802,92.8768,0.38,0.056,134.784
920,280,214,0.0623995,53.7302,0.212,0.052,139.569
800,600,215,0.109365,156.892,0.496,0.08,1096.66
920,400,216,0.079672,94.7468,0.392,0.056,226.932
680,960,217,0.103526,149.69,0.536,0.052,382.346
160,680,218,0.156995,338.289,0.656,0.216,2089.3
440,640,219,0.16976,373.029,0.724,0.248,3119.43
160,760,220,0.149104,284.313,0.628,0.212,1770.65
80,400,221,0.135029,242.115,0.628,0.124,2005.44
360,840,222,0.152425,293.878,0.692,0.176,1957.71
600,720,223,0.146624,292.303,0.624,0.184,1769.64
400,400,224,0.15473,338.313,0.668,0.24,2574.49
200,240,225,0.120086,199.783,0.536,0.096,1659.54
160,120,226,0.0975396,136.243,0.456,0.04,1263.04
560,640,227,0.153851,301.436,0.66,0.212,2230.34
400,200,228,0.115273,201.531,0.54,0.092,1606.15
800,360,229,0.100206,146.288,0.484,0.048,346.415
320,240,230,0.127975,242.289,0.644,0.104,2039.21
960,320,231,0.0614083,52.7875,0.22,0.044,90.1164
440,480,232,0.163541,316.296,0.676,0.22,3174.38
