x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
320,360,0,0.151909,299.676,0.696,0.184,2354.92
640,960,1,0.108109,163.531,0.548,0.088,677.699
600,840,2,0.131778,233.07,0.596,0.12,1427.2
240,400,3,0.156412,307.744,0.656,0.208,2383.47
160,440,4,0.154865,306.04,0.656,0.208,2157.16
120,40,5,0.0761055,87.7504,0.452,0.028,582.182
840,560,6,0.100828,151.676,0.528,0.048,331.862
200,520,7,0.161095,322.214,0.68,0.228,2759.96
400,120,8,0.100885,116.375,0.488,0.064,1461.46
920,920,9,0.0701804,78.8604,0.308,0.036,166.12
