x,y,z,name,phi,kx,facies,ntg,prod
360,120,0.0,0,0.053087,6.85053,1.0,0,0.0420357827563
360,120,6.0,0,0.052848,7.03381,1.0,0,0.0418465444942
360,120,12.0,0,0.0422976,7.25149,1.0,0,0.0334924723164
360,120,18.0,0,0.0577981,6.92642,1.0,0,0.0457662165781
360,120,24.0,0,0.0529418,7.27066,1.0,0,0.0419208509491
360,120,30.0,0,0.02,7.19677,1.0,0,0.0158365783121
360,120,36.0,0,0.0223641,6.84145,1.0,0,0.017708515781
360,120,42.0,0,0.0480506,21.1813,1.0,0,0.0380478493514
360,120,48.0,0,0.02,7.48197,1.0,0,0.0158365783121
360,120,54.0,0,0.0201504,7.3874,1.0,0,0.0159556386667
360,120,60.0,0,0.0222792,6.99748,1.0,0,0.0176412803001
360,120,66.0,0,0.0222548,6.84145,1.0,0,0.0176219771119
360,120,72.0,0,0.0539,24.6651,1.0,0,0.0426795785511
360,120,78.0,0,0.02,26.9772,1.0,0,0.0158365783121
360,120,84.0,0,0.048064,29.4831,1.0,0,0.0380584911545
360,120,90.0,0,0.0502767,29,1.0,0,0.0398105807258
360,120,96.0,0,0.0405347,35.2432,1.0,0,0.0320965200943
360,120,102.0,0,0.054186,38.7818,1.0,0,0.0429060416209
360,120,108.0,0,0.0450309,124.445,1.0,0,0.0356567345479
360,120,114.0,0,0.0429317,43.7557,1.0,0,0.0339945303537
360,120,120.0,0,0.0589294,45.0983,1.0,0,0.0466620323816
360,120,126.0,0,0.0639261,43.3756,1.0,0,0.0506185270923
360,120,132.0,0,0.0557125,114.545,1.0,0,0.0441147784473
360,120,138.0,0,0.0857387,25.5542,1.0,0,0.0678903831979
360,120,144.0,0,0.096059,46.2069,1.0,0,0.0760622966213
360,120,150.0,0,0.101484,44.6221,1.0,1,0.0803579020541
360,120,156.0,0,0.106757,51.6133,1.0,1,0.0845335585713
360,120,162.0,0,0.072906,59.6864,1.0,0,0.057729078921
360,120,168.0,0,0.02,58.6123,1.0,0,0.0158365783121
360,120,174.0,0,0.0223338,74.2987,2.0,0,0.0176845238684
360,120,180.0,0,0.02,73.0159,2.0,0,0.0158365783121
360,120,186.0,0,0.0384426,77.7032,2.0,0,0.0304399494648
360,120,192.0,0,0.0787707,72.4543,2.0,0,0.0623729412221
360,120,198.0,0,0.0618669,72.3108,2.0,0,0.0489879778149
360,120,204.0,0,0.0755878,73.2083,2.0,0,0.0598526040953
360,120,210.0,0,0.0741886,71.5903,2.0,0,0.0587446681574
360,120,216.0,0,0.0757854,80.3527,2.0,0,0.0600090674604
360,120,222.0,0,0.0858804,80.1943,2.0,0,0.0680025929079
360,120,228.0,0,0.0726355,77.5968,2.0,0,0.0575148795317
360,120,234.0,0,0.0762006,80.464,2.0,0,0.0603378307053
360,120,240.0,0,0.0755891,81.1493,3.0,0,0.0598535956604
360,120,246.0,0,0.0725882,78.2994,2.0,0,0.0574774553262
360,120,252.0,0,0.099816,79.1447,2.0,0,0.0790371950399
360,120,258.0,0,0.0772357,96.0056,2.0,0,0.0611574373337
360,120,264.0,0,0.0747571,109.933,2.0,0,0.0591948467537
360,120,270.0,0,0.109072,107.456,2.0,1,0.0863666601804
360,120,276.0,0,0.110375,122.9,2.0,1,0.0873981611207
360,120,282.0,0,0.108483,143.129,2.0,1,0.0858998064666
360,120,288.0,0,0.0918132,6.84145,2.0,0,0.0727003201247
360,120,294.0,0,0.0990516,142.942,2.0,0,0.0784319217967
360,120,300.0,0,0.092777,144.875,2.0,0,0.0734634862919
360,120,306.0,0,0.121874,179.925,1.0,1,0.0965037397671
360,120,312.0,0,0.144695,211.386,2.0,1,0.114573794849
360,120,318.0,0,0.143321,215.124,2.0,1,0.113485520749
360,120,324.0,0,0.139016,226.699,2.0,1,0.110077247676
360,120,330.0,0,0.136862,241.913,2.0,1,0.10837111963
360,120,336.0,0,0.151635,228.221,2.0,1,0.120069075481
360,120,342.0,0,0.145261,221.798,2.0,1,0.115021542626
360,120,348.0,0,0.135738,224.969,2.0,1,0.107481317551
360,120,354.0,0,0.144957,234.652,2.0,1,0.114781386346
360,120,360.0,0,0.144579,179.824,2.0,1,0.114481734619
360,120,366.0,0,0.138911,219.335,2.0,1,0.10999362518
360,120,372.0,0,0.146733,224.344,2.0,1,0.116187246133
360,120,378.0,0,0.13211,217.909,2.0,1,0.104608618439
360,120,384.0,0,0.132649,226.383,2.0,1,0.105035449399
360,120,390.0,0,0.135619,232.053,2.0,1,0.10738740751
360,120,396.0,0,0.131192,219.086,3.0,1,0.103881603694
360,120,402.0,0,0.149089,226.445,2.0,1,0.118053085417
360,120,408.0,0,0.118664,186.742,3.0,1,0.0939612365431
360,120,414.0,0,0.130874,210.86,3.0,1,0.103629612595
360,120,420.0,0,0.128166,179.87,3.0,1,0.10148532361
360,120,426.0,0,0.155931,189.785,3.0,1,0.123470446718
