x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
920,80,0,0.0528846,45.8697,0.116,0.004,51.4135
120,960,1,0.110058,180.562,0.528,0.044,529.364
640,120,2,0.0914632,124.773,0.468,0,292.38
240,720,3,0.159678,319.117,0.704,0.248,2569.82
200,240,4,0.122378,210.621,0.612,0.06,1899.22
480,280,5,0.131771,236.062,0.6,0.096,2470.92
800,360,6,0.097591,133.717,0.5,0.008,297.705
440,840,7,0.151999,290.883,0.732,0.176,2030.1
720,920,8,0.100709,166.011,0.508,0.004,518.759
960,360,9,0.0618765,60.5324,0.228,0.008,116.224
