x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
120,880,0,0.127748,224.761,0.548,0.16,1051.47
240,840,1,0.153505,274.135,0.66,0.188,1526.91
840,160,2,0.0673746,77.4749,0.34,0.092,111.69
320,720,3,0.167523,351.11,0.64,0.264,2449.63
240,480,4,0.163582,324.506,0.704,0.256,2921.4
120,920,5,0.126319,217.722,0.592,0.136,624.126
280,720,6,0.164235,339.45,0.664,0.232,2813.54
600,720,7,0.148945,273.958,0.628,0.224,2193.9
360,720,8,0.16804,360.605,0.66,0.252,2507.43
480,240,9,0.121206,190.775,0.504,0.196,2260.37
880,400,10,0.0833235,115.818,0.412,0.096,252.283
480,400,11,0.154902,303.32,0.62,0.196,2712.51
240,360,12,0.148036,283.844,0.632,0.204,2108
960,720,13,0.0713814,72.6045,0.304,0.08,195.68
760,800,14,0.108737,166.805,0.524,0.144,745.374
840,480,15,0.101629,138.225,0.484,0.1,275.324
400,960,16,0.128269,252.082,0.568,0.192,1120.81
680,440,17,0.130842,240.107,0.612,0.128,1816.72
720,40,18,0.0586522,60.7012,0.3,0.116,166.418
160,720,19,0.155979,317.467,0.58,0.216,1923.88
440,240,20,0.126681,211.294,0.56,0.104,1713.86
880,880,21,0.0766926,95.4311,0.392,0.108,216.018
840,520,22,0.101912,155.225,0.512,0.132,369.213
960,40,23,0.0546257,48.6379,0.232,0.088,90.7796
320,520,24,0.166988,370.416,0.708,0.276,2594.59
800,160,25,0.0685975,68.9805,0.332,0.096,224.281
360,120,26,0.102174,137.295,0.54,0.108,1559.7
960,120,27,0.0586802,52.6668,0.272,0.088,70.3262
440,200,28,0.114076,177.013,0.552,0.116,1979.96
760,360,29,0.101211,129.722,0.492,0.116,232.268
120,40,30,0.0753639,101.196,0.408,0.092,476.864
80,720,31,0.142531,311.68,0.62,0.168,1388.48
800,120,32,0.0663653,73.1971,0.34,0.1,127.392
640,840,33,0.123436,228.824,0.544,0.188,1417.34
400,240,34,0.127309,205.101,0.62,0.108,1794.08
440,40,35,0.084014,96.3892,0.448,0.08,204.381
920,200,36,0.0584912,55.7958,0.244,0.068,135.133
920,440,37,0.0792778,96.5065,0.416,0.096,235.474
680,520,38,0.134709,248.954,0.592,0.176,1964.39
760,760,39,0.112886,182.238,0.576,0.108,884.253
240,760,40,0.164926,343.257,0.66,0.228,2193.31
400,400,41,0.15862,305.087,0.688,0.208,2947.69
120,680,42,0.151406,314.225,0.62,0.212,1532.49
800,520,43,0.106989,160.472,0.516,0.104,411.659
560,280,44,0.120494,207.082,0.592,0.172,2107.07
200,760,45,0.155076,343.385,0.676,0.256,1768.65
120,80,46,0.0830441,118.291,0.412,0.068,836.768
720,720,47,0.120468,222.859,0.524,0.128,1437.31
200,920,48,0.124463,216.36,0.544,0.136,1090.09
240,280,49,0.134661,263.724,0.604,0.184,2073.38
160,960,50,0.117549,165.244,0.512,0.152,521.496
40,680,51,0.136721,261.11,0.628,0.152,1783.58
880,160,52,0.0570065,61.2231,0.272,0.06,120.506
920,240,53,0.0615457,63.1919,0.328,0.124,81.4068
840,720,54,0.0957432,149.009,0.472,0.096,767.625
600,640,55,0.154022,339.458,0.648,0.2,1935.6
280,920,56,0.137358,322.274,0.656,0.192,1280.9
480,40,57,0.0835737,101.815,0.448,0.136,199.9
760,320,58,0.0990433,151.727,0.492,0.104,283.821
360,280,59,0.13783,241.233,0.604,0.156,2474.11
840,240,60,0.0741322,77.7596,0.404,0.1,218.551
160,240,61,0.117725,194.597,0.528,0.092,1846.79
920,520,62,0.083506,104.733,0.472,0.128,222.228
440,360,63,0.145434,301.705,0.616,0.236,2359.83
120,760,64,0.147015,302.807,0.592,0.16,1826.46
160,800,65,0.150254,269.41,0.616,0.188,1649.86
280,880,66,0.143088,268.073,0.612,0.188,1753.05
560,960,67,0.120089,203.449,0.556,0.108,693.896
840,880,68,0.0848984,115.283,0.436,0.104,260.012
520,440,69,0.152178,332.496,0.632,0.212,2729.29
720,400,70,0.113209,190.289,0.508,0.12,345.357
360,960,71,0.130252,218.871,0.584,0.164,791.052
920,360,72,0.0709974,76.6571,0.372,0.112,166.938
40,120,73,0.0820302,103.351,0.408,0.108,675.988
840,920,74,0.0823669,100.397,0.504,0.092,157.407
760,680,75,0.116199,204.679,0.536,0.14,1088.1
600,960,76,0.110148,182.176,0.584,0.124,528.379
720,360,77,0.11213,186.561,0.472,0.12,420.343
720,160,78,0.0862799,146.313,0.456,0.092,283.868
80,320,79,0.123727,215.676,0.568,0.108,1350.58
400,160,80,0.109702,195.452,0.528,0.132,1622.72
480,640,81,0.167278,338.273,0.692,0.216,3238.52
120,120,82,0.0904946,113.978,0.464,0.092,1075.19
200,80,83,0.0920698,116.973,0.516,0.096,1188.32
680,960,84,0.101266,150.02,0.552,0.108,506.517
280,160,85,0.10939,180.511,0.604,0.12,1507.14
720,920,86,0.0979869,129.917,0.492,0.088,605.017
160,480,87,0.154948,340.05,0.648,0.184,2213.53
360,600,88,0.170449,337.626,0.704,0.292,3500
760,160,89,0.0773985,84.8929,0.42,0.088,236.651
800,600,90,0.107548,163.349,0.524,0.124,1020.69
200,600,91,0.162815,354.813,0.696,0.256,2814.76
320,760,92,0.16366,333.736,0.684,0.256,2578.66
480,600,93,0.16725,388.159,0.668,0.252,2959.01
640,760,94,0.134128,242.261,0.576,0.164,1707.15
640,120,95,0.0867523,102.503,0.408,0.084,219.642
960,160,96,0.0533046,41.9648,0.24,0.096,86.0899
800,400,97,0.100433,144.651,0.54,0.1,309.677
240,960,98,0.128267,218.877,0.596,0.136,833.621
320,960,99,0.127729,243.602,0.564,0.16,1016.89
920,280,100,0.0667279,74.3078,0.292,0.108,150.458
80,960,101,0.11222,175.41,0.532,0.128,403.877
400,800,102,0.156729,319.234,0.644,0.212,1993.75
440,640,103,0.169052,331.059,0.688,0.28,2282.9
160,880,104,0.131842,244.172,0.536,0.14,1349.29
360,840,105,0.149302,312.326,0.656,0.236,1591.21
520,560,106,0.15983,332.144,0.68,0.236,2968.78
400,680,107,0.168679,360.157,0.656,0.236,2633.29
560,320,108,0.129382,211.315,0.624,0.124,2474.09
120,240,109,0.112701,175.553,0.496,0.096,1275.93
600,520,110,0.147943,319.925,0.616,0.224,2837.46
360,200,111,0.119716,202.456,0.584,0.124,1831.62
680,40,112,0.0657144,62.3585,0.308,0.1,164.453
400,320,113,0.14231,265.019,0.58,0.212,2740.94
40,280,114,0.109178,160.862,0.508,0.116,1076.29
720,80,115,0.0704057,82.3027,0.32,0.068,186.402
440,600,116,0.169425,349.477,0.712,0.264,2511.36
920,400,117,0.0759194,82.3587,0.432,0.08,178.955
280,560,118,0.171776,348.613,0.704,0.276,2596.68
840,560,119,0.100058,156.577,0.504,0.104,281.039
520,640,120,0.160691,339.428,0.632,0.252,2943.02
800,280,121,0.0892429,111.639,0.496,0.1,284.571
