x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
800,80,0,0.057671,61.0616,0.268,0.104,77.6662
520,440,1,0.152178,332.496,0.632,0.212,2729.29
560,360,2,0.135773,260.398,0.62,0.16,1825.28
560,280,3,0.120494,207.082,0.592,0.172,2107.07
600,600,4,0.152666,335.718,0.544,0.228,2717.4
680,280,5,0.107481,180.781,0.552,0.108,426.301
360,840,6,0.149302,312.326,0.656,0.236,1591.21
360,200,7,0.119716,202.456,0.584,0.124,1831.62
520,480,8,0.161665,334.677,0.68,0.192,3133.9
400,480,9,0.163031,317.129,0.676,0.224,2982.91
960,400,10,0.0708587,78.3284,0.336,0.124,234.775
640,600,11,0.144064,263.978,0.628,0.228,2216.48
440,440,12,0.15814,309.7,0.688,0.22,2741.9
960,40,13,0.0546257,48.6379,0.232,0.088,90.7796
440,920,14,0.136843,240.747,0.6,0.172,1042.17
480,600,15,0.16725,388.159,0.668,0.252,2959.01
560,200,16,0.110814,178.343,0.496,0.132,340.402
200,200,17,0.112156,193.55,0.536,0.188,1371.42
840,800,18,0.0957956,140.914,0.536,0.104,458.325
920,400,19,0.0759194,82.3587,0.432,0.08,178.955
120,880,20,0.127748,224.761,0.548,0.16,1051.47
40,320,21,0.116426,187.325,0.556,0.1,1319.26
880,240,22,0.0703919,73.5729,0.376,0.092,138.996
400,760,23,0.168236,339.72,0.66,0.216,2265.43
440,600,24,0.169425,349.477,0.712,0.264,2511.36
240,360,25,0.148036,283.844,0.632,0.204,2108
680,640,26,0.137177,240.284,0.604,0.152,1850.23
600,960,27,0.110148,182.176,0.584,0.124,528.379
280,960,28,0.128526,234.573,0.568,0.108,878.83
920,280,29,0.0667279,74.3078,0.292,0.108,150.458
520,240,30,0.117812,191.043,0.544,0.14,2184.98
880,480,31,0.0919712,123.325,0.528,0.092,200.791
360,120,32,0.102174,137.295,0.54,0.108,1559.7
360,40,33,0.0845849,124.186,0.404,0.084,723.99
640,760,34,0.134128,242.261,0.576,0.164,1707.15
600,280,35,0.120717,205.027,0.524,0.12,471.086
80,840,36,0.127319,214.953,0.568,0.14,1211.84
720,160,37,0.0862799,146.313,0.456,0.092,283.868
440,200,38,0.114076,177.013,0.552,0.116,1979.96
480,120,39,0.0994491,149.621,0.484,0.096,284.994
480,520,40,0.165788,382.032,0.72,0.208,3200.64
800,560,41,0.1096,178.343,0.544,0.116,261.504
320,800,42,0.157737,313.647,0.624,0.2,2063.64
920,520,43,0.083506,104.733,0.472,0.128,222.228
320,960,44,0.127729,243.602,0.564,0.16,1016.89
680,480,45,0.135902,239.014,0.592,0.168,2321.91
760,280,46,0.0976926,161.749,0.508,0.112,376.986
80,520,47,0.145055,287.309,0.588,0.176,2102.16
240,960,48,0.128267,218.877,0.596,0.136,833.621
720,520,49,0.122416,219.302,0.556,0.132,1617.71
800,280,50,0.0892429,111.639,0.496,0.1,284.571
40,40,51,0.0663962,67.1863,0.316,0.076,447.945
800,120,52,0.0663653,73.1971,0.34,0.1,127.392
320,40,53,0.0858676,135.575,0.46,0.108,804.265
400,320,54,0.14231,265.019,0.58,0.212,2740.94
240,840,55,0.153505,274.135,0.66,0.188,1526.91
360,360,56,0.153918,328.302,0.668,0.176,2303.44
920,200,57,0.0584912,55.7958,0.244,0.068,135.133
560,80,58,0.0871317,125.473,0.5,0.108,247.745
160,760,59,0.147709,307.506,0.624,0.204,1395.53
240,560,60,0.164733,353.275,0.68,0.276,2986.34
120,280,61,0.120205,193.741,0.568,0.112,1934.09
280,760,62,0.159985,326.097,0.704,0.204,1753.9
760,360,63,0.101211,129.722,0.492,0.116,232.268
960,560,64,0.0840245,114.152,0.408,0.12,159.952
960,720,65,0.0713814,72.6045,0.304,0.08,195.68
920,240,66,0.0615457,63.1919,0.328,0.124,81.4068
680,400,67,0.123747,205.907,0.548,0.128,455.228
320,480,68,0.162149,357.123,0.656,0.236,3341.79
40,120,69,0.0820302,103.351,0.408,0.108,675.988
360,720,70,0.16804,360.605,0.66,0.252,2507.43
160,440,71,0.148245,298.849,0.592,0.152,2190.34
960,960,72,0.0548115,48.8563,0.256,0.08,50.8175
320,160,73,0.109884,202.062,0.548,0.128,1680.72
480,240,74,0.121206,190.775,0.504,0.196,2260.37
440,640,75,0.169052,331.059,0.688,0.28,2282.9
840,880,76,0.0848984,115.283,0.436,0.104,260.012
40,680,77,0.136721,261.11,0.628,0.152,1783.58
80,600,78,0.146077,275.169,0.616,0.196,2278.18
120,600,79,0.158276,316.446,0.588,0.216,2130.69
440,360,80,0.145434,301.705,0.616,0.236,2359.83
680,560,81,0.142563,320.433,0.56,0.144,1714.91
920,40,82,0.056561,59.5346,0.228,0.128,98.2456
840,680,83,0.100996,157.13,0.532,0.1,787.44
80,760,84,0.136447,257.233,0.576,0.152,1665.66
360,600,85,0.170449,337.626,0.704,0.292,3500
640,160,86,0.0896509,134.086,0.488,0.12,242.634
480,480,87,0.164943,332.807,0.648,0.212,3255.95
120,120,88,0.0904946,113.978,0.464,0.092,1075.19
760,960,89,0.0896132,133.52,0.488,0.088,234.008
600,840,90,0.13263,224.477,0.58,0.152,1267.97
600,720,91,0.148945,273.958,0.628,0.224,2193.9
520,280,92,0.12877,258.015,0.568,0.116,2477.84
640,480,93,0.140762,318.551,0.64,0.184,2097.86
960,840,94,0.0661116,70.4407,0.28,0.108,196.494
600,520,95,0.147943,319.925,0.616,0.224,2837.46
520,720,96,0.156141,325.064,0.664,0.236,2344.21
