x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
640,520,0,0.140754,251.81,0.612,0.168,2264.82
480,680,1,0.161818,342.526,0.644,0.248,2219.98
400,960,2,0.126459,232.301,0.588,0.128,899.313
880,640,3,0.094775,127.67,0.488,0.048,316.921
880,680,4,0.0930339,123.857,0.44,0.036,207.58
960,360,5,0.0665784,82.3646,0.368,0.044,131.79
720,240,6,0.0957059,133.572,0.532,0.064,283.722
600,400,7,0.137759,249.659,0.584,0.108,2037.61
80,480,8,0.143067,270.352,0.676,0.184,1849.21
520,680,9,0.158491,331.447,0.676,0.22,2396.81
