x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
840,160,113,0.0634492,61.1391,0.2,0.012,119.488
920,560,114,0.0865257,110.09,0.44,0.016,230.467
200,800,115,0.150925,292.526,0.7,0.176,2096.86
480,760,116,0.158643,313.154,0.756,0.22,2629.36
520,440,117,0.158332,393.654,0.72,0.18,2996.82
720,640,118,0.123719,216.188,0.56,0.076,1783.81
560,600,119,0.157877,308.347,0.7,0.204,2812.11
200,760,120,0.157426,270.056,0.724,0.2,2368.01
320,440,121,0.163145,354.866,0.788,0.228,3145.27
160,40,122,0.0835628,107.171,0.392,0.012,744.883
880,160,123,0.0586988,55.4981,0.18,0.008,105.408
680,680,124,0.136512,249.479,0.644,0.104,1910.48
320,160,125,0.112005,173.592,0.56,0.036,1804.13
480,240,126,0.124138,205.51,0.588,0.064,2146.92
640,760,127,0.135649,243.848,0.596,0.1,1731.76
680,920,128,0.10573,179.178,0.504,0.028,653.96
840,560,129,0.101274,142.608,0.468,0.02,335.239
600,760,130,0.143092,272.158,0.704,0.132,2101.7
600,800,131,0.132657,259.691,0.616,0.132,1629.08
640,160,132,0.0930673,141.659,0.452,0.004,293.739
280,760,133,0.163951,343.042,0.768,0.22,2539.37
120,920,134,0.121496,205.435,0.608,0.052,872.927
640,40,135,0.0698129,72.4488,0.26,0.008,154.137
680,480,136,0.128706,222.474,0.592,0.1,2086.88
720,400,137,0.111665,184.932,0.516,0.04,411.317
200,600,138,0.161688,329.944,0.724,0.244,2791.56
640,320,139,0.116549,196.125,0.572,0.056,402.734
960,640,140,0.0732509,90.4935,0.308,0.004,159.049
200,160,141,0.108588,157.953,0.536,0.028,1482.03
520,280,142,0.131656,246.701,0.616,0.084,2438.17
480,720,143,0.161934,318.1,0.744,0.216,2757.05
40,520,144,0.139026,259.04,0.628,0.116,2017.17
720,40,145,0.061592,63.6937,0.208,0.012,119.736
160,400,146,0.147384,309.088,0.66,0.16,2718.66
480,600,147,0.164231,354.3,0.744,0.236,3063.37
400,280,148,0.138835,245.069,0.624,0.124,2589.3
80,320,149,0.121381,199.213,0.56,0.056,1882.51
