x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
200,40,0,0.083602,104.791,0.448,0.048,636.573
360,760,1,0.162231,345.928,0.652,0.256,2475.1
160,560,2,0.159028,324.287,0.704,0.204,2128.61
720,520,3,0.122126,187.108,0.576,0.088,1860.21
280,120,4,0.101706,137.875,0.556,0.044,1092.93
400,680,5,0.168634,348.384,0.708,0.268,2517.4
400,320,6,0.145355,279.181,0.612,0.164,2706.85
680,920,7,0.109922,163.312,0.54,0.068,786.254
80,480,8,0.143067,270.352,0.676,0.184,1849.21
120,640,9,0.152822,323.188,0.588,0.224,2276.07
