x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
480,760,0,0.158643,313.154,0.756,0.22,2629.36
760,360,1,0.104303,173.562,0.54,0.004,363.899
120,240,2,0.11359,180.119,0.556,0.04,1636.54
520,640,3,0.159851,323.097,0.744,0.236,2804.69
680,840,4,0.111987,197.87,0.552,0.052,1033.12
680,40,5,0.0661979,69.8224,0.204,0.004,144.938
200,520,6,0.161919,318.372,0.736,0.24,2989.38
840,280,7,0.0824638,102.272,0.42,0.008,217.702
600,960,8,0.110852,184.923,0.552,0.044,716.066
680,320,9,0.110152,178.983,0.532,0.032,382.822
