x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
720,880,0,0.104565,142.636,0.5,0.024,698.677
560,80,1,0.0883293,106.643,0.424,0.004,249.706
320,240,2,0.127331,226.373,0.608,0.056,2352.39
560,200,3,0.109771,178.901,0.588,0.036,350.991
400,720,4,0.1651,355.381,0.76,0.244,2793.12
400,680,5,0.168752,367.757,0.796,0.268,3073.45
560,600,6,0.157877,308.347,0.7,0.204,2812.11
680,360,7,0.117474,191.359,0.624,0.048,430.919
960,40,8,0.056191,55.2287,0.14,0.008,72.3371
760,400,9,0.106875,162.19,0.524,0.028,362.017
360,400,10,0.158617,319.024,0.74,0.212,3065.88
600,400,11,0.141091,258.025,0.624,0.112,2531.43
480,840,12,0.149879,301.196,0.692,0.164,2098.44
480,760,13,0.158643,313.154,0.756,0.22,2629.36
200,280,14,0.127691,227.41,0.592,0.096,2152.79
520,760,15,0.153926,296.941,0.748,0.192,2432.26
40,760,16,0.129941,218.606,0.62,0.1,1326.92
600,800,17,0.132657,259.691,0.616,0.132,1629.08
360,840,18,0.151311,278.337,0.732,0.188,2095.95
280,840,19,0.153323,296.36,0.68,0.176,1890.22
840,680,20,0.0960323,134.591,0.444,0.008,869.64
120,440,21,0.144773,287.488,0.66,0.156,2308.99
720,520,22,0.128581,261.529,0.612,0.064,1918.26
40,800,23,0.130965,254.724,0.6,0.072,1230.91
40,240,24,0.10277,155.443,0.5,0.004,1280.37
560,960,25,0.111334,187.191,0.56,0.044,827.585
520,640,26,0.159851,323.097,0.744,0.236,2804.69
760,520,27,0.116771,183.095,0.592,0.044,1571.82
280,960,28,0.129034,229.83,0.592,0.08,1069.71
440,480,29,0.163442,314.994,0.804,0.232,3282.39
600,720,30,0.146827,281.707,0.652,0.152,2247.08
360,280,31,0.137918,267.594,0.58,0.132,2576.71
960,360,32,0.0618765,60.5324,0.228,0.008,116.224
880,280,33,0.0732338,85.3192,0.328,0.008,162.564
920,80,34,0.0528846,45.8697,0.116,0.004,51.4135
480,720,35,0.161934,318.1,0.744,0.216,2757.05
760,200,36,0.0876226,132.004,0.44,0.016,236.138
400,480,37,0.167191,358.377,0.816,0.24,3259.06
680,720,38,0.127057,274.101,0.608,0.108,1720.21
640,840,39,0.125255,197.168,0.588,0.064,1417.04
160,240,40,0.11659,207.056,0.512,0.048,1861.08
840,280,41,0.0824638,102.272,0.42,0.008,217.702
400,80,42,0.094259,135.601,0.448,0.004,1202.51
880,880,43,0.0776443,97.176,0.368,0.004,175.259
400,960,44,0.132031,241.03,0.608,0.088,1144.31
640,280,45,0.110521,175.971,0.532,0.036,357.317
