x,y,z,name,phi,kx,facies,ntg,prod
760,800,0.0,0,0.0689363,7.82533,1.0,0,0.0325284630459
760,800,6.0,0,0.0350396,19.6743,1.0,0,0.0165338723236
760,800,12.0,0,0.0557252,24.8402,1.0,0,0.026294667106
760,800,18.0,0,0.0526668,25.8869,1.0,0,0.0248515297443
760,800,24.0,0,0.0210957,39.8648,1.0,0,0.00995426153964
760,800,30.0,0,0.0415444,7.74008,1.0,0,0.0196032712151
760,800,36.0,0,0.0558331,42.0223,1.0,0,0.0263455792269
760,800,42.0,0,0.0577458,43.6656,1.0,0,0.0272481174905
760,800,48.0,0,0.0537556,44.8111,1.0,1,0.0253652563458
760,800,54.0,0,0.0555748,41.233,1.0,0,0.0262236866567
760,800,60.0,0,0.0522399,42.2204,1.0,0,0.024650062876
760,800,66.0,0,0.0552525,7.74008,1.0,0,0.026071605551
760,800,72.0,0,0.058406,42.907,1.0,0,0.0275596217902
760,800,78.0,0,0.054825,43.8298,3.0,0,0.0258699016795
760,800,84.0,0,0.0541501,74.8582,1.0,0,0.0255514324859
760,800,90.0,0,0.0526523,44.0016,1.0,0,0.0248446524873
760,800,96.0,0,0.0561328,45.9152,1.0,0,0.0264869903041
760,800,102.0,0,0.0587074,44.9078,1.0,0,0.0277018317116
760,800,108.0,0,0.0256646,45.0335,1.0,0,0.0121101585099
760,800,114.0,0,0.0297959,47.068,1.0,0,0.0140595722601
760,800,120.0,0,0.0564055,45.7959,1.0,0,0.026615654724
760,800,126.0,0,0.0754831,16.7533,1.0,0,0.0356176713086
760,800,132.0,0,0.0605014,47.0845,1.0,0,0.0285483396536
760,800,138.0,0,0.0605569,49.9553,1.0,0,0.028574535679
760,800,144.0,0,0.0561906,49.3679,1.0,0,0.0265142502522
760,800,150.0,0,0.0410791,57.3518,1.0,0,0.0193837042781
760,800,156.0,0,0.0640477,67.1072,1.0,0,0.0302217144741
760,800,162.0,0,0.0708617,61.7342,1.0,0,0.0334369986102
760,800,168.0,0,0.0891316,56.0857,1.0,1,0.0420578886346
760,800,174.0,0,0.0972055,57.8116,2.0,0,0.0458676546881
760,800,180.0,0,0.0784142,54.5927,2.0,0,0.0370007403567
760,800,186.0,0,0.0791883,119.542,2.0,0,0.0373660055928
760,800,192.0,0,0.0795244,105.053,2.0,0,0.037524600906
