x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
120,960,0,0.112912,157.895,0.524,0.12,556.506
560,680,1,0.152705,326.877,0.612,0.244,2680.55
600,640,2,0.154022,339.458,0.648,0.2,1935.6
760,280,3,0.0976926,161.749,0.508,0.112,376.986
440,200,4,0.114076,177.013,0.552,0.116,1979.96
600,960,5,0.110148,182.176,0.584,0.124,528.379
600,520,6,0.147943,319.925,0.616,0.224,2837.46
640,480,7,0.140762,318.551,0.64,0.184,2097.86
960,400,8,0.0708587,78.3284,0.336,0.124,234.775
480,240,9,0.121206,190.775,0.504,0.196,2260.37
