x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
200,520,0,0.161095,322.214,0.68,0.228,2759.96
960,720,1,0.0748111,87.5706,0.328,0.052,127.826
800,840,2,0.0970001,137.309,0.46,0.056,452.538
920,360,3,0.0737264,89.3879,0.376,0.064,158.827
840,280,4,0.0781698,87.6618,0.36,0.076,246.945
320,200,5,0.120698,209.872,0.548,0.068,2056.13
360,840,6,0.152425,293.878,0.692,0.176,1957.71
400,120,7,0.100885,116.375,0.488,0.064,1461.46
760,760,8,0.110097,188.914,0.544,0.1,1121.37
640,520,9,0.140754,251.81,0.612,0.168,2264.82
