x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
680,120,0,0.0808624,97.334,0.392,0.052,180.193
960,80,1,0.0538509,48.7615,0.212,0.052,98.1506
40,400,2,0.125853,246.93,0.56,0.124,1815.22
520,480,3,0.155805,335.137,0.656,0.192,2645.02
400,920,4,0.13549,252.522,0.608,0.14,1484.02
80,480,5,0.143067,270.352,0.676,0.184,1849.21
120,80,6,0.0855335,113.468,0.416,0.036,734.429
600,520,7,0.149034,274.975,0.676,0.164,2823.76
200,960,8,0.118132,192.975,0.576,0.084,868.201
640,480,9,0.136044,261.001,0.592,0.14,2498.3
400,400,10,0.15473,338.313,0.668,0.24,2574.49
840,640,11,0.104271,163.03,0.468,0.048,758.776
840,680,12,0.100646,154.768,0.468,0.064,806.128
280,600,13,0.168896,325.46,0.724,0.26,2680.78
40,40,14,0.0650279,72.6157,0.292,0.04,359.125
680,160,15,0.0871163,125.67,0.468,0.072,188.202
480,640,16,0.162627,349.223,0.664,0.24,2719.82
960,680,17,0.0731287,79.9307,0.356,0.024,157.829
800,760,18,0.101138,143.497,0.524,0.048,652.74
240,640,19,0.1665,353.969,0.7,0.24,2733.87
280,360,20,0.153792,305.412,0.624,0.216,2287.61
880,440,21,0.0879842,112.942,0.424,0.052,298.79
800,80,22,0.0573271,50.6613,0.232,0.036,53.3219
160,400,23,0.149373,284.182,0.62,0.18,2554.05
840,160,24,0.0634609,65.734,0.284,0.052,150.67
560,280,25,0.122659,200.245,0.58,0.124,2003.99
280,640,26,0.169878,330.717,0.684,0.236,2548.41
520,800,27,0.148136,293.942,0.664,0.212,2200.8
80,720,28,0.143783,280.015,0.572,0.176,1741.04
800,960,29,0.0839651,107.784,0.432,0.04,236.972
160,240,30,0.114825,193.077,0.596,0.08,1758.19
720,680,31,0.122707,212.202,0.572,0.1,1647.16
320,720,32,0.164145,382.996,0.76,0.252,2252.63
480,800,33,0.152615,285.212,0.672,0.216,1695.72
400,200,34,0.115273,201.531,0.54,0.092,1606.15
640,440,35,0.137615,256.649,0.644,0.136,1893.01
800,560,36,0.109621,177.34,0.564,0.072,360.565
360,160,37,0.111342,177.665,0.528,0.06,1556.49
760,760,38,0.110097,188.914,0.544,0.1,1121.37
360,120,39,0.102971,151.204,0.5,0.06,1224.71
80,600,40,0.144034,302.544,0.6,0.204,2038.37
960,120,41,0.0580455,51.7313,0.228,0.056,100.13
800,800,42,0.100033,166.467,0.5,0.056,651.076
480,240,43,0.120931,235.939,0.572,0.08,2070.51
600,840,44,0.131778,233.07,0.596,0.12,1427.2
640,600,45,0.14294,285.569,0.624,0.16,2478.63
920,400,46,0.079672,94.7468,0.392,0.056,226.932
960,400,47,0.0694403,73.9219,0.316,0.044,153.155
880,720,48,0.091642,125.77,0.472,0.048,437.322
320,880,49,0.143769,264.295,0.608,0.148,1785.09
720,240,50,0.0957059,133.572,0.532,0.064,283.722
720,640,51,0.124889,213.011,0.564,0.108,1402.11
200,360,52,0.146972,284.038,0.676,0.188,2582.72
840,720,53,0.0974174,154.421,0.48,0.044,779.107
560,720,54,0.152855,285.783,0.736,0.22,2425.84
400,560,55,0.170995,385.958,0.744,0.28,2877.95
240,40,56,0.082677,108.573,0.428,0.04,713.629
760,280,57,0.0940003,128.377,0.416,0.06,334.48
920,80,58,0.0575132,53.5092,0.188,0.068,124.87
440,640,59,0.16976,373.029,0.724,0.248,3119.43
520,360,60,0.142082,283.153,0.612,0.156,2201.99
800,400,61,0.0986629,139.264,0.496,0.048,260.491
600,40,62,0.0750387,86.4769,0.384,0.048,173.608
160,160,63,0.0998371,143.366,0.5,0.064,1189.68
920,480,64,0.0801398,100.329,0.372,0.052,235.55
760,400,65,0.105156,160.165,0.48,0.068,382.742
320,960,66,0.127168,244.925,0.56,0.132,1094.43
640,680,67,0.139967,243.927,0.628,0.16,2236.39
880,480,68,0.0909435,141.784,0.456,0.056,311.279
240,720,69,0.164319,358.986,0.736,0.236,2090.3
560,680,70,0.15478,311.897,0.652,0.196,2055.97
560,920,71,0.121929,223.476,0.576,0.08,1052.46
440,920,72,0.133634,238.299,0.596,0.16,1348.11
360,960,73,0.127816,229.876,0.596,0.108,913.481
640,280,74,0.112686,188.134,0.516,0.072,327.13
160,440,75,0.154865,306.04,0.656,0.208,2157.16
440,840,76,0.148809,313.773,0.624,0.156,1656.34
40,160,77,0.0903491,121.782,0.492,0.036,770.542
400,480,78,0.170724,359.68,0.708,0.248,3500
320,80,79,0.0958341,133.457,0.52,0.028,975.864
680,200,80,0.0961814,154.702,0.468,0.044,269.866
120,160,81,0.100545,142.246,0.516,0.036,1272.52
960,640,82,0.074623,87.6598,0.408,0.056,177.606
560,320,83,0.12865,241.222,0.608,0.128,2059.1
680,240,84,0.101542,148.287,0.488,0.052,337.721
880,160,85,0.0601715,56.3472,0.248,0.036,101.553
720,160,86,0.085439,109.692,0.468,0.076,232.635
600,400,87,0.137759,249.659,0.584,0.108,2037.61
600,880,88,0.125346,214.239,0.572,0.088,1072.93
680,480,89,0.135371,242.019,0.592,0.132,1984.27
440,40,90,0.0852784,110.673,0.464,0.056,169.799
400,960,91,0.126459,232.301,0.588,0.128,899.313
600,80,92,0.0793445,97.5405,0.4,0.048,252.338
480,840,93,0.146382,266.99,0.652,0.172,2027
640,240,94,0.107726,162.177,0.52,0.072,357.176
680,520,95,0.13488,258.831,0.636,0.132,1691.82
880,640,96,0.094775,127.67,0.488,0.048,316.921
160,560,97,0.159028,324.287,0.704,0.204,2128.61
840,360,98,0.0879135,117.784,0.476,0.04,200.101
80,960,99,0.106345,190.409,0.508,0.06,469.074
840,920,100,0.0800744,97.52,0.396,0.044,148.734
600,480,101,0.145094,295.131,0.608,0.168,2692.54
40,880,102,0.113325,169.446,0.524,0.08,635.41
680,280,103,0.107136,177.045,0.5,0.056,354.404
240,280,104,0.132854,240.028,0.588,0.152,1955.89
360,720,105,0.16844,353.526,0.732,0.232,2833.94
440,480,106,0.163541,316.296,0.676,0.22,3174.38
400,600,107,0.168128,391.103,0.692,0.272,3297.33
120,40,108,0.0761055,87.7504,0.452,0.028,582.182
80,240,109,0.113669,192.408,0.532,0.076,1578.16
960,840,110,0.0681418,72.4653,0.292,0.064,122.256
320,840,111,0.152519,290.095,0.7,0.188,1896.25
880,600,112,0.0910538,131.098,0.436,0.048,198.766
160,200,113,0.107989,188.501,0.556,0.088,1315.08
480,520,114,0.165743,361.778,0.716,0.236,3277.75
400,320,115,0.145355,279.181,0.612,0.164,2706.85
920,360,116,0.0737264,89.3879,0.376,0.064,158.827
800,840,117,0.0970001,137.309,0.46,0.056,452.538
560,640,118,0.153851,301.436,0.66,0.212,2230.34
160,760,119,0.149104,284.313,0.628,0.212,1770.65
