x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
760,800,0,0.105069,161.29,0.52,0.036,885.449
600,840,1,0.128439,227.001,0.544,0.112,1541.09
440,600,2,0.171077,368.361,0.812,0.268,3297.71
560,160,3,0.10158,149.67,0.512,0.008,336.003
320,80,4,0.0930225,142.33,0.44,0.004,1179.07
40,280,5,0.108746,164.819,0.524,0.044,1342.38
80,960,6,0.105098,141.152,0.464,0.028,412.58
400,640,7,0.171717,369.143,0.784,0.288,3340.85
320,520,8,0.17291,391.156,0.784,0.268,3448.85
800,960,9,0.0857474,112.034,0.416,0,249.914
120,640,10,0.15146,297.902,0.668,0.192,2245.51
760,760,11,0.110997,191.179,0.552,0.036,1150.79
840,920,12,0.0807137,104.029,0.4,0.004,228.803
400,720,13,0.1651,355.381,0.76,0.244,2793.12
120,960,14,0.110058,180.562,0.528,0.044,529.364
120,40,15,0.0757539,80.6475,0.288,0.012,639.124
80,840,16,0.131613,237.699,0.628,0.1,1206.78
680,280,17,0.105728,154.003,0.516,0.028,360.44
760,560,18,0.115364,210.105,0.572,0.048,1653.62
200,760,19,0.157426,270.056,0.724,0.2,2368.01
80,600,20,0.148233,276.241,0.712,0.164,2091.57
840,360,21,0.0903921,113.779,0.42,0.008,241.048
880,160,22,0.0586988,55.4981,0.18,0.008,105.408
480,240,23,0.124138,205.51,0.588,0.064,2146.92
360,320,24,0.144648,276.727,0.676,0.144,2771.26
200,600,25,0.161688,329.944,0.724,0.244,2791.56
720,640,26,0.123719,216.188,0.56,0.076,1783.81
920,360,27,0.0715928,98.9268,0.34,0.008,156.619
40,160,28,0.0893109,135.01,0.424,0.008,901.128
640,400,29,0.129176,274.703,0.604,0.1,2358.48
560,200,30,0.109771,178.901,0.588,0.036,350.991
360,840,31,0.151311,278.337,0.732,0.188,2095.95
600,160,32,0.0994746,140.2,0.468,0.012,336.313
840,560,33,0.101274,142.608,0.468,0.02,335.239
920,720,34,0.0802766,102.525,0.376,0.004,196.824
920,480,35,0.0817527,95.6939,0.42,0.012,209.555
880,760,36,0.0898142,115.611,0.46,0.008,452.072
720,920,37,0.100709,166.011,0.508,0.004,518.759
280,960,38,0.129034,229.83,0.592,0.08,1069.71
960,640,39,0.0732509,90.4935,0.308,0.004,159.049
480,520,40,0.163831,313.727,0.768,0.24,3368.88
480,840,41,0.149879,301.196,0.692,0.164,2098.44
760,40,42,0.0597404,59.8321,0.204,0.008,99.6731
400,80,43,0.094259,135.601,0.448,0.004,1202.51
520,520,44,0.165336,343.261,0.74,0.212,3256.11
720,600,45,0.122981,211.916,0.592,0.072,1759.02
320,760,46,0.166494,341.352,0.816,0.232,2629.86
240,80,47,0.09315,131.1,0.452,0.008,1152.36
840,680,48,0.0960323,134.591,0.444,0.008,869.64
520,440,49,0.158332,393.654,0.72,0.18,2996.82
200,40,50,0.0849858,104.942,0.448,0.012,840.878
640,280,51,0.110521,175.971,0.532,0.036,357.317
40,960,52,0.101543,150.89,0.484,0.012,323.333
80,720,53,0.145281,277.956,0.632,0.136,1843.82
800,160,54,0.0743342,91.1462,0.32,0.02,169.991
760,200,55,0.0876226,132.004,0.44,0.016,236.138
840,200,56,0.0683102,82.0505,0.26,0.004,127.307
160,480,57,0.152478,284.768,0.68,0.212,2798.4
240,640,58,0.169613,388.72,0.78,0.244,3029.22
