x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
880,280,0,0.0732338,85.3192,0.328,0.008,162.564
520,640,1,0.159851,323.097,0.744,0.236,2804.69
160,960,2,0.116203,197.216,0.552,0.06,681.838
680,280,3,0.105728,154.003,0.516,0.028,360.44
240,600,4,0.165584,350.828,0.756,0.264,2910.95
160,720,5,0.156809,325.324,0.72,0.2,2178.22
240,240,6,0.129443,216.074,0.548,0.068,2135.66
560,600,7,0.157877,308.347,0.7,0.204,2812.11
840,360,8,0.0903921,113.779,0.42,0.008,241.048
400,720,9,0.1651,355.381,0.76,0.244,2793.12
840,640,10,0.102377,142.831,0.536,0.012,1025
680,840,11,0.111987,197.87,0.552,0.052,1033.12
560,680,12,0.153569,298.223,0.672,0.192,2542.7
320,840,13,0.153349,316.188,0.7,0.184,2116.48
680,200,14,0.0952046,136.766,0.496,0,284.034
760,520,15,0.116771,183.095,0.592,0.044,1571.82
480,840,16,0.149879,301.196,0.692,0.164,2098.44
840,200,17,0.0683102,82.0505,0.26,0.004,127.307
200,160,18,0.108588,157.953,0.536,0.028,1482.03
360,320,19,0.144648,276.727,0.676,0.144,2771.26
520,440,20,0.158332,393.654,0.72,0.18,2996.82
800,400,21,0.10036,148.728,0.488,0.004,305.958
200,720,22,0.160164,322.93,0.772,0.22,2519.3
200,360,23,0.140297,256.645,0.624,0.164,2446.76
200,840,24,0.145281,301.796,0.684,0.148,1636.2
320,800,25,0.154108,362.695,0.728,0.208,2358.51
40,760,26,0.129941,218.606,0.62,0.1,1326.92
560,960,27,0.111334,187.191,0.56,0.044,827.585
680,80,28,0.0744063,83.76,0.344,0.012,177.029
800,320,29,0.0955528,139.48,0.52,0.008,276.781
920,280,30,0.0683313,83.5247,0.292,0.016,131.353
280,680,31,0.168044,339.053,0.78,0.28,2784.18
280,440,32,0.164338,352.845,0.724,0.216,3336.12
440,880,33,0.142869,291.568,0.632,0.144,1793.57
640,80,34,0.0843161,121.647,0.424,0.016,215.177
760,880,35,0.100054,150.331,0.52,0.004,615.209
960,400,36,0.0704004,69.915,0.248,0,140.563
240,40,37,0.0834382,113.157,0.408,0.004,909.922
600,520,38,0.153486,322.873,0.688,0.176,2693.63
320,40,39,0.0865367,106.013,0.376,0.012,1003.85
200,760,40,0.157426,270.056,0.724,0.2,2368.01
600,200,41,0.106079,173.485,0.524,0.004,339.172
160,880,42,0.134103,229.348,0.624,0.104,1316.88
920,760,43,0.0777036,110.939,0.332,0.004,219.102
120,920,44,0.121496,205.435,0.608,0.052,872.927
200,40,45,0.0849858,104.942,0.448,0.012,840.878
640,520,46,0.138837,248.571,0.644,0.132,2396.51
120,640,47,0.15146,297.902,0.668,0.192,2245.51
600,760,48,0.143092,272.158,0.704,0.132,2101.7
600,800,49,0.132657,259.691,0.616,0.132,1629.08
800,760,50,0.106745,167.35,0.548,0.004,928.566
320,80,51,0.0930225,142.33,0.44,0.004,1179.07
760,760,52,0.110997,191.179,0.552,0.036,1150.79
280,480,53,0.173822,356.463,0.852,0.248,3309.75
240,440,54,0.15697,312.591,0.7,0.216,3042.04
680,920,55,0.10573,179.178,0.504,0.028,653.96
200,400,56,0.15069,276.649,0.696,0.18,2862.53
400,920,57,0.136642,269.789,0.62,0.124,1458.22
840,280,58,0.0824638,102.272,0.42,0.008,217.702
720,760,59,0.117186,194.157,0.596,0.052,1294.51
560,920,60,0.121988,196.711,0.58,0.056,1055.27
