x,y,z,name,phi,kx,facies,ntg,prod
480,760,0.0,0,0.0862644,7.21743,2.0,0,0.066454870846
480,760,6.0,0,0.0981795,33.3196,2.0,0,0.075633845461
480,760,12.0,0,0.0849948,36.8705,2.0,0,0.0654768136501
480,760,18.0,0,0.0764334,51.0927,2.0,0,0.0588814279498
480,760,24.0,0,0.101138,57.43,2.0,0,0.0779128099654
480,760,30.0,0,0.0515902,74.7579,2.0,0,0.0397431473138
480,760,36.0,0,0.02,82.2445,2.0,0,0.015407256596
480,760,42.0,0,0.0863463,81.553,2.0,0,0.0665179714083
480,760,48.0,0,0.0458523,57.2474,2.0,0,0.0353229086228
480,760,54.0,0,0.0588193,55.932,2.0,0,0.0453122396515
480,760,60.0,0,0.105389,60.1546,2.0,1,0.0811873941393
480,760,66.0,0,0.0648171,59.4915,2.0,0,0.0499326466875
480,760,72.0,0,0.088385,55.6893,2.0,0,0.0680885519361
480,760,78.0,0,0.0655794,57.8809,2.0,0,0.0505199497816
480,760,84.0,0,0.063745,56.6464,1.0,0,0.0491067799012
480,760,90.0,0,0.0644936,81.843,2.0,0,0.049683457732
480,760,96.0,0,0.0620623,59.352,2.0,0,0.0478104738076
480,760,102.0,0,0.0915,59.0812,2.0,0,0.0704881989267
480,760,108.0,0,0.0304126,56.0727,2.0,0,0.0234286994972
480,760,114.0,0,0.021391,68.9709,2.0,0,0.016478862457
480,760,120.0,0,0.02,39.5001,1.0,0,0.015407256596
480,760,126.0,0,0.0204805,41.3323,2.0,0,0.0157774234661
480,760,132.0,0,0.093052,117.224,2.0,0,0.0716838346865
480,760,138.0,0,0.0407622,39.8597,2.0,0,0.0314017122221
480,760,144.0,0,0.0445759,42.8229,2.0,0,0.0343396301575
480,760,150.0,0,0.053212,41.117,2.0,0,0.0409925383115
480,760,156.0,0,0.0491029,41.7951,2.0,0,0.0378270507321
480,760,162.0,0,0.101713,64.9351,2.0,1,0.0783560894619
480,760,168.0,0,0.0982697,107.304,2.0,0,0.0757033606843
480,760,174.0,0,0.104163,104.909,2.0,1,0.0802429582565
480,760,180.0,0,0.104453,107.919,2.0,1,0.0804664080872
480,760,186.0,0,0.0548383,136.54,2.0,0,0.0422454090065
480,760,192.0,0,0.117786,136.877,2.0,1,0.0907379175921
480,760,198.0,0,0.0691277,141.386,2.0,0,0.0532533949944
480,760,204.0,0,0.0892243,178.972,2.0,1,0.0687351169077
480,760,210.0,0,0.14124,191.581,2.0,1,0.108806261767
480,760,216.0,0,0.142034,208.396,2.0,1,0.109417732675
480,760,222.0,0,0.126954,209.404,2.0,1,0.0978008254627
480,760,228.0,0,0.147264,217.648,2.0,1,0.113447029856
480,760,234.0,0,0.138794,237.835,2.0,1,0.106921596929
480,760,240.0,0,0.129607,214.878,2.0,1,0.0998444627343
480,760,246.0,0,0.133523,220.586,2.0,1,0.102861358107
480,760,252.0,0,0.131923,224.859,2.0,1,0.101628959498
480,760,258.0,0,0.135049,240.233,2.0,1,0.104037071599
480,760,264.0,0,0.138858,235.318,2.0,1,0.106970828771
480,760,270.0,0,0.130564,342.974,2.0,1,0.100581357155
480,760,276.0,0,0.132833,231.04,2.0,1,0.10232968735
480,760,282.0,0,0.140592,226.419,2.0,1,0.108307107296
480,760,288.0,0,0.151013,270.725,2.0,1,0.116334804477
480,760,294.0,0,0.172859,275.791,2.0,1,0.133163895637
480,760,300.0,0,0.179706,265.065,3.0,1,0.138438603859
480,760,306.0,0,0.190261,265.024,3.0,1,0.146570357023
480,760,312.0,0,0.203078,277.664,3.0,1,0.156443610366
480,760,318.0,0,0.203101,437.194,3.0,1,0.156461520685
480,760,324.0,0,0.203519,275.179,3.0,0,0.156783648594
480,760,330.0,0,0.202602,277.137,3.0,1,0.15607734271
480,760,336.0,0,0.202078,265.641,3.0,1,0.155673170469
480,760,342.0,0,0.204126,258.988,3.0,1,0.157250904856
480,760,348.0,0,0.20114,260.596,3.0,1,0.154950483903
480,760,354.0,0,0.202369,275.347,3.0,1,0.155897449022
480,760,360.0,0,0.201345,278.349,3.0,1,0.155108999637
480,760,366.0,0,0.200805,270.973,3.0,1,0.15469284009
480,760,372.0,0,0.205417,250.937,3.0,1,0.158245741347
480,760,378.0,0,0.203458,273.558,3.0,1,0.156736604571
