x,y,name,avg_phi,avg_kx,avg_net,facies_4,total_prod
960,40,0,0.0546257,48.6379,0.232,0.088,90.7796
360,760,1,0.165545,375.481,0.632,0.256,2838.84
240,360,2,0.148036,283.844,0.632,0.204,2108
880,480,3,0.0919712,123.325,0.528,0.092,200.791
240,960,4,0.128267,218.877,0.596,0.136,833.621
120,160,5,0.10023,147.57,0.472,0.076,1189.9
680,440,6,0.130842,240.107,0.612,0.128,1816.72
640,760,7,0.134128,242.261,0.576,0.164,1707.15
840,480,8,0.101629,138.225,0.484,0.1,275.324
680,680,9,0.133348,230.162,0.56,0.188,1351.8
